,0_SV,0_time,0_layer,1_SV,1_time,1_layer,2_SV,2_time,2_layer,3_SV,3_time,3_layer,4_SV,4_time,4_layer,5_SV,5_time,5_layer,6_SV,6_time,6_layer,7_SV,7_time,7_layer,8_SV,8_time,8_layer,9_SV,9_time,9_layer
0,-0.059974491596221924,72.31191301345825,1727,0.0033807754516601562,51.64433407783508,1169,0.1931006908416748,40.47718286514282,860,0.1663450002670288,27.991371870040894,520,-0.010965824127197266,72.76311588287354,1716,-0.033050596714019775,23.827237129211426,409,-0.08787357807159424,58.2526171207428,1353,0.11210823059082031,63.49587869644165,1493,-0.0667218565940857,47.260887145996094,1029,-0.019357800483703613,33.42089796066284,661
1,-0.020545512437820435,11.26958155632019,62,-0.02702409029006958,51.471128940582275,1149,0.14970380067825317,14.755814790725708,151,-0.033080220222473145,69.61121678352356,1451,-0.06202960014343262,50.072776317596436,769,0.035280317068099976,57.388070583343506,933,-0.0015185773372650146,40.2494170665741,570,0.08029007911682129,29.109540462493896,324,0.0480940043926239,75.64541482925415,1318,0.0016193389892578125,17.278579235076904,72
2,0.0007680654525756836,53.945367097854614,852,-0.03098936875661214,56.914722204208374,916,0.033024549484252916,70.44504237174988,1202,-0.011668880780537924,30.239152908325195,347,-0.08912444114685059,76.10641431808472,1387,0.01581478118896484,78.85036134719849,1911,-0.037732839584350586,40.676180601119995,873,0.08468500773111978,44.141565561294556,961,0.02394376198450724,16.322446584701538,201,0.0011788606643676758,27.83950185775757,521
3,-0.2550470381975174,74.73558330535889,1786,-0.03305654227733612,36.20499300956726,747,0.05753749608993529,30.335084438323975,589,-0.023120656609535217,60.63306450843811,1425,-0.07563024759292603,51.10353708267212,1178,0.01654046773910522,51.81294012069702,1175,-5.510449409484863e-05,78.86396837234497,1927,0.1248498409986496,30.362184047698975,583,-0.013574376702308655,72.424729347229,1755,0.0015330761671066284,63.40822124481201,1495
4,-0.24168576002120973,44.66790747642517,980,-0.04993250370025635,18.72752094268799,267,0.05857801437377928,41.97594404220581,918,-0.01971360445022583,18.546508312225342,265,-0.037422704696655276,20.700520277023315,319,0.007132816314697263,24.903494596481323,435,0.0026978254318237305,13.20282506942749,114,0.10898783206939698,45.99606537818909,1014,0.023379814624786378,30.401282787322998,598,0.023919451236724853,44.65243744850159,983
5,-0.199459840854009,11.36587119102478,64,-0.043423195679982506,19.45289635658264,285,0.05624682704607645,80.20707511901855,1954,-0.01851351062456767,15.747792720794678,183,-0.0011108517646789585,66.64655756950378,1570,0.006435970465342202,64.72232699394226,1517,0.011733204126358032,16.018916845321655,192,0.0870696504910787,25.589762449264526,453,0.01975513497988383,10.64984679222107,32,0.01518353819847107,14.170630931854248,141
6,-0.15935754776000977,55.581329107284546,1261,-0.045123432363782606,73.25061655044556,1739,0.05661960159029278,56.17127466201782,1280,-0.028652608394622803,24.52850031852722,427,0.011222226279122486,63.65204119682312,1481,-0.01351078919001988,78.85679793357849,1876,0.005101144313812256,31.328596353530884,604,0.09058511257171632,66.62160444259644,1559,0.019991278648376465,74.13713550567627,1781,0.01629125220435006,50.805601358413696,1150
7,-0.1264224499464035,67.4314124584198,1624,-0.042723096907138824,71.34103894233704,1717,0.03986134380102156,34.712647676467896,700,-0.02615296095609665,73.5437593460083,1762,0.014055475592613217,29.685819387435913,575,-0.02586456388235092,43.77664494514465,949,-0.0046921223402023315,73.47021627426147,1762,0.08150359243154527,71.71935820579529,1715,0.016470588743686676,18.872679948806763,260,0.00045207142829894846,76.30616927146912,1868
8,-0.08261667357550725,65.48882365226746,1548,-0.041579756471845836,14.730794668197632,151,0.03673138883378769,48.02617287635803,1063,-0.03387685616811116,48.681792974472046,1090,0.00792451699574788,17.724971294403076,238,-0.020269691944122314,34.556456565856934,702,0.02108633518218994,77.43923950195312,1863,0.07621180348926121,74.16445708274841,1782,0.033725586202409535,42.31552052497864,910,0.01317155361175537,50.379005670547485,1130
9,-0.07305233478546141,32.237037658691406,654,-0.04202143549919128,26.886552572250366,480,0.03997656702995299,21.650306224822998,347,-0.037297230958938596,62.89049053192139,1477,-0.000975906848907475,68.48598194122314,1619,-0.010592383146286013,12.281922340393066,88,0.025341498851776122,75.53867554664612,1821,0.06926011443138123,44.20290994644165,987,0.033913916349411016,46.96720361709595,1038,0.053122842311859125,46.019145250320435,991
10,-0.07870858365839176,55.770179748535156,1273,-0.03787181052294644,10.355867385864258,35,0.03704935312271117,38.772881746292114,813,-0.03026118603619662,77.88063859939575,1896,-0.00615931099111384,62.72830295562744,1470,-0.01734921065243808,82.29704570770264,1998,0.01860785484313965,50.08569645881653,1133,0.07053736665032126,66.43160843849182,1563,0.04924739490855824,53.88905692100525,1215,0.0507834336974404,71.18773484230042,1693
11,-0.07990465064843494,27.26815414428711,501,-0.030326743920644123,50.60004377365112,1139,0.05409871538480121,66.83482813835144,1588,-0.030725851655006405,65.05959701538086,1532,-0.01095009843508403,74.73502349853516,1800,-0.03225381672382355,55.2863347530365,1278,0.010591944058736164,55.18715310096741,1246,0.06153455873330433,12.116655349731445,79,0.04871875047683716,31.15609049797058,603,0.047372927268346146,22.24594736099243,354
